geoID,tractCE,nameLSAD,variable,mi10,mi10_moe,mi10_inflate,mi16,mi16_moe,delta
29510115100,115100,"Census Tract 1151, St. Louis city, Missouri",B19013_001,35353,2703,39193.926685000006,29215,5279,-9978.926685000006
29510115200,115200,"Census Tract 1152, St. Louis city, Missouri",B19013_001,23009,3883,25508.812805,28322,6146,2813.1871949999986
29510115300,115300,"Census Tract 1153, St. Louis city, Missouri",B19013_001,44583,9483,49426.720035000006,40041,9359,-9385.720035000006
29510115400,115400,"Census Tract 1154, St. Louis city, Missouri",B19013_001,34817,3371,38599.692965,33942,8795,-4657.692965000002
29510115500,115500,"Census Tract 1155, St. Louis city, Missouri",B19013_001,32701,7039,36253.800145,22319,7084,-13934.800145000001
29510115600,115600,"Census Tract 1156, St. Louis city, Missouri",B19013_001,24518,5058,27181.758110000002,20020,4489,-7161.7581100000025
29510115700,115700,"Census Tract 1157, St. Louis city, Missouri",B19013_001,24269,4167,26905.705505,25988,4825,-917.7055050000017
29510116100,116100,"Census Tract 1161, St. Louis city, Missouri",B19013_001,25300,6828,28048.718500000003,38125,7902,10076.281499999997
29510116200,116200,"Census Tract 1162, St. Louis city, Missouri",B19013_001,40865,3838,45304.777925,52642,5034,7337.222074999998
29510116301,116301,"Census Tract 1163.01, St. Louis city, Missouri",B19013_001,44176,5603,48975.501520000005,60938,8924,11962.498479999995
29510116302,116302,"Census Tract 1163.02, St. Louis city, Missouri",B19013_001,22185,9178,24595.289325,25445,3579,849.7106749999984
29510116400,116400,"Census Tract 1164, St. Louis city, Missouri",B19013_001,23365,6291,25903.490425000004,22472,4905,-3431.4904250000036
29510116500,116500,"Census Tract 1165, St. Louis city, Missouri",B19013_001,43558,6554,48290.35891,39299,9235,-8991.358910000003
29510117100,117100,"Census Tract 1171, St. Louis city, Missouri",B19013_001,39432,7521,43716.089640000006,40137,2074,-3579.0896400000056
29510117200,117200,"Census Tract 1172, St. Louis city, Missouri",B19013_001,41676,3739,46203.88902,54441,7685,8237.110979999998
29510117400,117400,"Census Tract 1174, St. Louis city, Missouri",B19013_001,48860,7594,54168.394700000004,48715,10700,-5453.394700000004
29510118100,118100,"Census Tract 1181, St. Louis city, Missouri",B19013_001,30313,9082,33606.355885000004,31994,8381,-1612.3558850000045
29510118400,118400,"Census Tract 1184, St. Louis city, Missouri",B19013_001,8840,1912,9800.4218,9963,1403,162.57819999999992
29510118600,118600,"Census Tract 1186, St. Louis city, Missouri",B19013_001,32500,6905,36030.9625,39211,8642,3180.0374999999985
29510119101,119101,"Census Tract 1191.01, St. Louis city, Missouri",B19013_001,18560,4168,20576.451200000003,37188,10713,16611.548799999997
29510119102,119102,"Census Tract 1191.02, St. Louis city, Missouri",B19013_001,43060,4593,47738.2537,40959,9710,-6779.253700000001
29510119200,119200,"Census Tract 1192, St. Louis city, Missouri",B19013_001,65958,21209,73124.00691000001,39107,15353,-34017.00691000001
29510119300,119300,"Census Tract 1193, St. Louis city, Missouri",B19013_001,15151,3872,16797.080395,17979,3839,1181.9196049999991
29510120200,120200,"Census Tract 1202, St. Louis city, Missouri",B19013_001,18056,16271,20017.69412,14435,10281,-5582.69412
29510121100,121100,"Census Tract 1211, St. Louis city, Missouri",B19013_001,21149,6120,23446.733105000003,16367,3596,-7079.733105000003
29510121200,121200,"Census Tract 1212, St. Louis city, Missouri",B19013_001,14042,3870,15567.593090000002,13102,3799,-2465.593090000002
29510123100,123100,"Census Tract 1231, St. Louis city, Missouri",B19013_001,34519,4606,38269.31675500001,46883,6616,8613.683244999993
29510123200,123200,"Census Tract 1232, St. Louis city, Missouri",B19013_001,52131,9373,57794.772495000005,55729,15808,-2065.7724950000047
29510123300,123300,"Census Tract 1233, St. Louis city, Missouri",B19013_001,43821,17302,48581.932545,54766,12587,6184.067454999997
29510124100,124100,"Census Tract 1241, St. Louis city, Missouri",B19013_001,24421,8340,27074.219545000004,23077,7338,-3997.2195450000036
29510124200,124200,"Census Tract 1242, St. Louis city, Missouri",B19013_001,23487,4191,26038.745115,26838,11654,799.2548849999985
29510124300,124300,"Census Tract 1243, St. Louis city, Missouri",B19013_001,38194,8743,42343.58713000001,53464,15358,11120.412869999993
29510124600,124600,"Census Tract 1246, St. Louis city, Missouri",B19013_001,23291,8029,25821.450695000003,15667,3605,-10154.450695000003
29510125500,125500,"Census Tract 1255, St. Louis city, Missouri",B19013_001,50187,8525,55639.566615,57050,8148,1410.4333849999966
29510125600,125600,"Census Tract 1256, St. Louis city, Missouri",B19013_001,45870,6862,50853.54615,54042,6761,3188.453849999998
29510125700,125700,"Census Tract 1257, St. Louis city, Missouri",B19013_001,9777,1797,10839.222165000001,11997,2809,1157.777834999999
29510126600,126600,"Census Tract 1266, St. Louis city, Missouri",B19013_001,20020,5435,22195.072900000003,22521,6450,325.92709999999715
29510126700,126700,"Census Tract 1267, St. Louis city, Missouri",B19013_001,26316,19702,29175.101820000003,18700,4885,-10475.101820000003
29510126800,126800,"Census Tract 1268, St. Louis city, Missouri",B19013_001,46159,7807,51173.944555,50603,4994,-570.9445550000019
29510126900,126900,"Census Tract 1269, St. Louis city, Missouri",B19013_001,31901,4660,35366.884145000004,26580,4293,-8786.884145000004
29510127000,127000,"Census Tract 1270, St. Louis city, Missouri",B19013_001,20975,2545,23253.828875000003,27500,7762,4246.171124999997
29510127100,127100,"Census Tract 1271, St. Louis city, Missouri",B19013_001,21422,6955,23749.393190000003,20106,3704,-3643.3931900000025
29510127200,127200,"Census Tract 1272, St. Louis city, Missouri",B19013_001,43767,7083,48522.065715000004,40502,3546,-8020.065715000004
29510127300,127300,"Census Tract 1273, St. Louis city, Missouri",B19013_001,34110,7948,37815.880950000006,31719,12116,-6096.880950000006
29510127400,127400,"Census Tract 1274, St. Louis city, Missouri",B19013_001,15359,3745,17027.678555000002,34893,16038,17865.321444999998
29510127500,127500,"Census Tract 1275, St. Louis city, Missouri",B19013_001,18438,6783,20441.19651,27071,5063,6629.803489999998
29510127600,127600,"Census Tract 1276, St. Louis city, Missouri",B19013_001,42457,9263,47069.740765,51195,4726,4125.259234999998
